task,rank,run,team,P,R,F1,avg_set_size,log_dist_from_gold
T1,1,submission_2,NOWJ,0.4235,0.4206,0.422,4.35,0.007
T1,2,submission_3,NOWJ,0.414,0.4263,0.42,4.5,0.029
T1,3,random_forest,JNLP,0.4341,0.3931,0.4126,3.96,0.099
T1,4,ensemble,JNLP,0.4174,0.3914,0.404,4.1,0.064
T1,5,xgboost,JNLP,0.4059,0.3943,0.4,4.25,0.029
T1,6,submission_1,NOWJ,0.3772,0.3994,0.388,4.63,0.057
T1,7,submission_sil2,SIL,0.4186,0.36,0.3871,3.76,0.151
T1,8,submission_sil1,SIL,0.3856,0.3766,0.381,4.27,0.024
T1,9,task_1_mezzanino,mezza,0.3161,0.3429,0.3289,4.75,0.081
T1,10,3.intit_bm25_year,INTIT,0.3249,0.3086,0.3165,4.16,0.051
T1,11,du3,DU,0.2945,0.3366,0.3141,5.0,0.134
T1,12,du2,DU,0.294,0.336,0.3136,5.0,0.134
T1,13,1.intit_bm25_pys,INTIT,0.3309,0.2851,0.3063,3.77,0.149
T1,14,du1,DU,0.2845,0.3251,0.3035,5.0,0.133
T1,15,task1_flnlpltr,FLNLP,0.2619,0.3337,0.2935,5.57,0.242
T1,16,2.intit_bm25_judge,INTIT,0.3147,0.2611,0.2854,3.63,0.187
T1,17,task1_flnlpembed,FLNLP,0.254,0.2903,0.2709,5.0,0.134
T1,18,ua_run3,UA,0.2038,0.3851,0.2666,8.27,0.636
T1,19,ua_run2,UA,0.2056,0.3714,0.2647,7.9,0.591
T1,20,ucdcs3,UCD-CS,0.248,0.2834,0.2645,5.0,0.133
T1,21,ucdcs1,UCD-CS,0.2131,0.3354,0.2607,6.89,0.454
T1,22,ua_run1,UA,0.2114,0.3297,0.2576,6.82,0.444
T1,23,ucdcs2,UCD-CS,0.2405,0.2749,0.2565,5.0,0.134
T1,24,task1_run2_results,JUNLLP,0.2193,0.2977,0.2525,5.94,0.306
T1,25,task1_run1_results,JUNLLP,0.2369,0.268,0.2515,4.95,0.123
T1,26,task1_flnlpbm25,FLNLP,0.234,0.2674,0.2496,5.0,0.133
T1,27,task1_run3_results,JUNLLP,0.2002,0.3171,0.2455,6.93,0.46
T1,28,task-1-ualbany,74688,0.213,0.2611,0.2346,5.36,0.204
T1,29,run1,UB2026,0.2338,0.2137,0.2233,4.0,0.09
T1,30,sach_task1_run2,Sach,0.1631,0.3531,0.2231,9.47,0.772
T1,31,sach_task1_run1,Sach,0.1683,0.3177,0.22,8.26,0.635
T1,32,bjpwh3,BJPWH,0.151,0.3451,0.2101,10.0,0.827
T1,33,bjpwh2,BJPWH,0.15,0.3429,0.2087,10.0,0.827
T1,34,run2,UB2026,0.2006,0.1834,0.1916,4.0,0.09
T1,35,run2recall,ABAI,0.1596,0.1989,0.1771,5.45,0.22
T1,36,run1balanced,ABAI,0.1945,0.1463,0.167,3.29,0.285
T1,37,task1_aiirqwen,AIIRLab,0.2642,0.1063,0.1516,1.76,0.91
T1,38,bosch_task1_run,bosch,0.0892,0.4103,0.1466,20.12,1.526
T1,39,task1_submission_v9,KeioAndrewShin,0.1527,0.1263,0.1383,3.62,0.19
